,Tweets,id,lens,date,place,coordinates,lang,source,likes,retweets
50,"b'RT @WesternSaharaQ: The Spanish Justice is looking for #BrahimGhali for cases of #Genocide, #Torture, #Rape etc..\nThis is the true Face of\xe2\x80\xa6'",1390772514276642818,139,2021-05-07 20:56:21,,,en,Twitter for iPhone,0,3
51,b'RT @Pixie_vannucci: #meto #womenslivesmatter #womenempowerment #rape #sexualassault #stopviolence #stopviolenceagainstwomen #surviver #rape\xe2\x80\xa6',1390771910431105024,140,2021-05-07 20:53:57,,,und,Twitter for Android,0,2
52,b'#meto #womenslivesmatter #womenempowerment #rape #sexualassault #stopviolence #stopviolenceagainstwomen #surviver #rapeculture #consent #awareness #feminist #feminism #timesup #believesurvivors #supportsurvivors #sexualassaultawareness #nomeansno #endsexualviolence https://t.co/0zd1Je2C4E',1390771742088564737,289,2021-05-07 20:53:17,,,und,Twitter for iPhone,2,2
53,b'We need the decriminalisation of rape in the UK to be investigated independently The courts have refused to act as the law has not changed What is happening is those enforcing the law are failing victims allowing dangerous rapists to walk the streets #Rape https://t.co/e7VGi0efV1',1390771348704833539,280,2021-05-07 20:51:43,,,en,Twitter for Android,2,2
54,b'In a worst situation:\n#hunger - weaponized\n#rape - weaponized\n#disease - weaponized\n#looting - weaponized\n#burning - weaponized\n#torture  - weaponized\nmassacring civilian - weaponized\n#ActNow z last action.\n#WithdrawEritreanTroops\n@USAmbUN \n@antonioguterres \n@SecBlinken \n@eu_eeas',1390771258242093059,280,2021-05-07 20:51:21,,,en,Twitter Web App,0,0
55,"b'The\xc2\xa0#rape\xc2\xa0victim,\xc2\xa0#Mona_Lisa\xc2\xa0lay on a hospital bed in Mekelle, the main city in war-torn #Tigray, her body\xc2\xa0#devastated\xc2\xa0but her defiance on display.\xc2\xa0 #TigrayWarRapeVictims #WeaponizedRape\xc2\xa0@UN @UN_Women\xc2\xa0@HouseForeign @Haavisto\xc2\xa0@EUCouncil @USAmbUN https://t.co/rOobYfLP2r'",1390769908317831170,268,2021-05-07 20:46:00,,,en,Twitter for Android,0,0
56,b'RT @ThePeoplesHubUK: @GoogleExpertUK @do_kinder @BullyingAlberta @DelusionalAcad1 @rossthomson26 @TruthsayerOdet1 @Suzanne_Garrett @MoriMah\xe2\x80\xa6',1390768139235852289,140,2021-05-07 20:38:58,,,en,Twitter for iPhone,0,20
57,"b'#Rape\xc2\xa0is being used as a weapon as fighting rages in remote parts of\xc2\xa0#Tigray\xc2\xa0region. \xe2\x80\x9cEven if we had shouted,\xe2\x80\x9d\xc2\xa0one woman said, \xe2\x80\x9cthere was no one to listen.\xe2\x80\x9d\xc2\xa0#TigrayWarRapeVictims #WeaponizedRape\xc2\xa0@UN_Women @HouseForeign\xc2\xa0@Haavisto @EUCouncil\xc2\xa0@USAmbUN\xc2\xa0@hrw\xc2\xa0https://t.co/rOobYfLP2r'",1390768138455760896,277,2021-05-07 20:38:58,,,en,Twitter for Android,0,0
58,b'RT @ThePeoplesHubUK: @GoogleExpertUK @do_kinder @BullyingAlberta @DelusionalAcad1 @rossthomson26 @TruthsayerOdet1 @Suzanne_Garrett @MoriMah\xe2\x80\xa6',1390768004938489860,140,2021-05-07 20:38:26,,,en,Twitter Web App,0,20
59,b'#March4Justice #rape #NRL #rapeculture #fedup #EnoughIsEnough #march4justiceau https://t.co/PEj4siA7Sp',1390764675625734146,102,2021-05-07 20:25:12,,,und,Twitter for iPhone,1,1
60,"b'RT @KaceyKells: KELLCEY ""This story not only bears witness to what countless other women have gone through, but also offers a message of ho\xe2\x80\xa6'",1390761939802931203,140,2021-05-07 20:14:20,,,en,Twitter Web App,0,10366
61,"b'RT @KaceyKells: KELLCEY ""This story not only bears witness to what countless other women have gone through, but also offers a message of ho\xe2\x80\xa6'",1390759747780030467,140,2021-05-07 20:05:37,,,en,Twitter for Android,0,10366
62,b'RT @GoogleExpertUK: @DaveRush2011 @LittleJanhere @Line_of_duty for real Dave! \n #LineOfDuty #Dundee \xf0\x9f\x9a\x94 #AC12 \n\n@martin_compston @Vicky_McClu\xe2\x80\xa6',1390759501956009992,140,2021-05-07 20:04:38,,,en,Twitter Web App,0,7
63,b'RT @KaurAbuseNWork: Victims of sexual assault have been coming forward to us in a relation to a Gurdwara in Derby. This case ranks as one o\xe2\x80\xa6',1390758530911768576,140,2021-05-07 20:00:47,,,en,Twitter for iPhone,0,67
64,b'RT @Rosenchild: @washingtonpost \xf0\x9f\x9a\xa8 The #Republican party / #GOP has become filled with:\n\n#Racism\n#Prejudice\n#Stereotyping\n#Hate Crimes / #Wr\xe2\x80\xa6',1390757804307320837,140,2021-05-07 19:57:54,,,en,Twitter Web App,0,1
65,b'@washingtonpost \xf0\x9f\x9a\xa8 The #Republican party / #GOP has become filled with:\n\n#Racism\n#Prejudice\n#Stereotyping\n#Hate Crimes / #Wrath\n#Fraud / White Collar Crime\n#Greed\n#Lust\n#Envy\n#Gluttony\n#Sloth\n#Xenophobia\n#Homophobia\n#Sexism\n#Rape\n#Molestation\n#Propaganda\n#Pseudoscience\n#Conspiracy Theories https://t.co/XfuSJ9PmtN',1390757779179253766,313,2021-05-07 19:57:48,,,en,Twitter Web App,2,1
66,"b""Y'all can't just erase what y'all did to our ancestors and us. Deal with your b.s! #America_Exposed #SystemicRacism #lynching #racism #culturalappropriation #pillaging #genocide #alienation #gentrificacion #murder #Kidnapping #rape #torture #theft the list goes on""",1390757344015904769,264,2021-05-07 19:56:04,"Place(_api=<tweepy.api.API object at 0x7fb58dfcee90>, id='a592bd6ceb1319f7', url='https://api.twitter.com/1.1/geo/id/a592bd6ceb1319f7.json', place_type='city', name='San Diego', full_name='San Diego, CA', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7fb58dfcee90>, type='Polygon', coordinates=[[[-117.282538, 32.53962], [-116.9274403, 32.53962], [-116.9274403, 33.0804044], [-117.282538, 33.0804044]]]), attributes={})",,en,Twitter for iPhone,0,0
67,"b'RT @hyrbyair_marri: If the so-called civilised world and the #UN had taken serious notice of the incident in #Dhaka on 21st Feb 1952, then\xe2\x80\xa6'",1390757339339255808,139,2021-05-07 19:56:03,,,en,Twitter for Android,0,143
68,"b'RT @KaceyKells: KELLCEY ""This story not only bears witness to what countless other women have gone through, but also offers a message of ho\xe2\x80\xa6'",1390756034168373250,140,2021-05-07 19:50:52,,,en,Twitter Web App,0,10366
69,"b'RT @KaceyKells: KELLCEY ""This story not only bears witness to what countless other women have gone through, but also offers a message of ho\xe2\x80\xa6'",1390754417289441280,140,2021-05-07 19:44:26,,,en,Twitter for Android,0,10366
70,b'RT @KaurAbuseNWork: Victims of sexual assault have been coming forward to us in a relation to a Gurdwara in Derby. This case ranks as one o\xe2\x80\xa6',1390752346913878016,140,2021-05-07 19:36:13,,,en,Twitter for iPhone,0,67
71,"b'Do you need help dealing with #SexualAssault, #Rape, or incest? Call @RAINN\xe2\x80\x99s Hotline 800.656.HOPE (4673) to talk to a trained staff member from a sexual assault service provider in your area. \n\nDon\xe2\x80\x99t feel comfortable talking? Use Chat/text  instead: https://t.co/5fqofFp4kh https://t.co/Ci10KzrSG1'",1390750872536293378,298,2021-05-07 19:30:21,,,en,Hootsuite Inc.,3,0
72,"b""RT @AmandaGreenUK: 200+ reviews on Amazon &amp; Goodreads **** Life could definitely be worse. Life could definitely be better. Here's my story\xe2\x80\xa6""",1390750041455931395,144,2021-05-07 19:27:03,,,en,Twitter Web App,0,21
73,b'RT @KaurAbuseNWork: Victims of sexual assault have been coming forward to us in a relation to a Gurdwara in Derby. This case ranks as one o\xe2\x80\xa6',1390748419631763459,140,2021-05-07 19:20:36,,,en,Twitter for iPhone,0,67
74,"b'RT @BombshellDAILY: REPUBLICAN BRUTALLY RAPES HIS INTERN\nIdaho Lawmaker Von Ehlinger raped his office intern, &amp; then released her name, unl\xe2\x80\xa6'",1390742443541291013,144,2021-05-07 18:56:51,,,en,Twitter for Android,0,192
75,"b'RT @MartinRJay: My latest investigation - \n\nRevealed: #UK Government in the spotlight over #UN sex crimes, #Whistleblower warns of \xe2\x80\x9crape cu\xe2\x80\xa6'",1390742381868245001,140,2021-05-07 18:56:37,,,en,Twitter Web App,0,22
76,b'RT @berkey_vicky: @BombshellDAILY So how can a person who commits a felony go to court and say yeah but ..? WTF? #rape #Texas',1390742224237961222,125,2021-05-07 18:55:59,,,en,Twitter for iPhone,0,2
77,b'RT @KaurAbuseNWork: Victims of sexual assault have been coming forward to us in a relation to a Gurdwara in Derby. This case ranks as one o\xe2\x80\xa6',1390740598659813377,140,2021-05-07 18:49:32,,,en,Twitter for iPhone,0,67
78,b'RT @berkey_vicky: @BombshellDAILY So how can a person who commits a felony go to court and say yeah but ..? WTF? #rape #Texas',1390740574475522053,125,2021-05-07 18:49:26,,,en,Twitter for Android,0,2
79,"b'#MeganRondini lawsuit can proceed, state supreme court rules: Former #Alabama student died in suicide after alleged #rape - https://t.co/kLlhSJ7xdu - CarolRobinson @UofAlabama @IngrahamAngle @TuckerCarlson @GovMikeHuckabee @MailOnline #RollTide @wsfa12news https://t.co/riQY5yS6iw'",1390740107448229889,280,2021-05-07 18:47:34,,,en,Twitter for iPad,0,0
80,"b'RT @KaceyKells: KELLCEY ""This story not only bears witness to what countless other women have gone through, but also offers a message of ho\xe2\x80\xa6'",1390739615687061506,140,2021-05-07 18:45:37,,,en,Twitter Web App,0,10366
81,b'RT @News18Odia: \xe0\xac\xaa\xe0\xac\xbf\xe0\xac\xa4\xe0\xac\xbe\xe0\xac\xae\xe0\xac\xbe\xe0\xac\xa4\xe0\xac\xbe\xe0\xac\x99\xe0\xad\x8d\xe0\xac\x95 \xe0\xac\xae\xe0\xad\x83\xe0\xac\xa4\xe0\xad\x8d\xe0\xad\x9f\xe0\xad\x81 \xe0\xac\xaa\xe0\xac\xb0\xe0\xad\x87 \xe0\xac\xad\xe0\xac\xbe\xe0\xac\x87 \xe0\xac\x93 \xe0\xac\xad\xe0\xac\xbe\xe0\xac\x89\xe0\xac\x9c\xe0\xac\x99\xe0\xad\x8d\xe0\xac\x95 \xe0\xac\xa8\xe0\xac\xbf\xe0\xac\xb0\xe0\xad\x8d\xe0\xac\xaf\xe0\xad\x8d\xe0\xad\x9f\xe0\xac\xbe\xe0\xac\xa4\xe0\xac\xa8\xe0\xac\xbe \xe0\xac\xb8\xe0\xac\xb9\xe0\xac\xbf \xe0\xac\xa8 \xe0\xac\xaa\xe0\xac\xbe\xe0\xac\xb0\xe0\xac\xbf \xe0\xac\x98\xe0\xac\xb0 \xe0\xac\x9b\xe0\xac\xbe\xe0\xac\xa1\xe0\xac\xbc\xe0\xac\xbf \xe0\xac\xaa\xe0\xac\xb3\xe0\xac\xbe\xe0\xac\x87 \xe0\xac\x86\xe0\xac\xb8\xe0\xac\xbf\xe0\xac\xa5\xe0\xac\xbf\xe0\xac\xac\xe0\xac\xbe \xe0\xad\xa8\xe0\xad\xa6-\xe0\xac\xac\xe0\xac\xb0\xe0\xad\x8d\xe0\xac\xb7\xe0\xad\x80\xe0\xad\x9f\xe0\xac\xbe \xe0\xac\xaf\xe0\xad\x81\xe0\xac\xac\xe0\xac\xa4\xe0\xad\x80\xe0\xac\x95\xe0\xad\x81 \xe0\xac\x9d\xe0\xac\xbe\xe0\xac\xb0\xe0\xac\xb8\xe0\xad\x81\xe0\xac\x97\xe0\xad\x81\xe0\xac\xa1\xe0\xac\xbc\xe0\xac\xbe \xe0\xac\xb0\xe0\xad\x87\xe0\xac\xb3 \xe0\xac\xb7\xe0\xad\x8d\xe0\xac\x9f\xe0\xad\x87\xe0\xac\xb8\xe0\xac\xa8\xe2\x80\xa6',1390739052962271232,139,2021-05-07 18:43:23,,,or,Twitter for Android,0,3
82,b'End sexual violence #rape &amp; #toxic rape culture in #Nigeria \nFull video: https://t.co/LuQlVJknrp \n#JusticeForHinyUmoren \xf0\x9f\x92\x94 https://t.co/Q7L8sJKKb5',1390738787504898051,149,2021-05-07 18:42:20,,,en,Twitter Web App,1,0
83,"b'RT @MsDarcyFarrow: @AmyBrenneman Hello Amy, you\xe2\x80\x99ll not remember my name but you read my comment RE #rape #abortion on your #Instagram live\xe2\x80\xa6'",1390736262982742022,139,2021-05-07 18:32:18,,,en,Twitter for iPhone,0,1
84,"b'RT @BombshellDAILY: REPUBLICAN BRUTALLY RAPES HIS INTERN\nIdaho Lawmaker Von Ehlinger raped his office intern, &amp; then released her name, unl\xe2\x80\xa6'",1390735936028303366,144,2021-05-07 18:31:00,,,en,Twitter for iPad,0,192
85,"b'RT @KaceyKells: KELLCEY ""This story not only bears witness to what countless other women have gone through, but also offers a message of ho\xe2\x80\xa6'",1390735818332033026,140,2021-05-07 18:30:32,,,en,Twitter Web App,0,10366
